,word,frequency,character,season,order
3,know,5,Stanley,2,4
4,say,5,Stanley,2,5
5,got,5,Stanley,2,6
6,right,4,Stanley,2,7
7,little,4,Stanley,2,8
8,would,4,Stanley,2,9
9,phone,4,Stanley,2,10
0,work,7,Stanley,3,1
1,back,6,Stanley,3,2
2,toaster,5,Stanley,3,3
3,said,5,Stanley,3,4
4,day,5,Stanley,3,5
5,ha,5,Stanley,3,6
6,got,4,Stanley,3,7
7,get,4,Stanley,3,8
8,pretzel,4,Stanley,3,9
9,know,4,Stanley,3,10
0,know,7,Stanley,4,1
1,michael,6,Stanley,4,2
2,dogs,6,Stanley,4,3
3,way,5,Stanley,4,4
4,'ve,5,Stanley,4,5
5,home,5,Stanley,4,6
6,say,5,Stanley,4,7
7,money,4,Stanley,4,8
8,think,4,Stanley,4,9
9,mind,4,Stanley,4,10
0,know,7,Stanley,5,1
1,would,6,Stanley,5,2
2,lost,5,Stanley,5,3
3,think,5,Stanley,5,4
4,way,5,Stanley,5,5
5,little,4,Stanley,5,6
6,look,4,Stanley,5,7
7,us,4,Stanley,5,8
8,die,4,Stanley,5,9
9,yes,4,Stanley,5,10
0,michael,10,Stanley,6,1
1,go,4,Stanley,6,2
2,told,3,Stanley,6,3
3,need,3,Stanley,6,4
4,say,3,Stanley,6,5
5,one,3,Stanley,6,6
6,heh,3,Stanley,6,7
7,gun,3,Stanley,6,8
8,ridiculous,2,Stanley,6,9
9,idea,2,Stanley,6,10
0,get,6,Stanley,7,1
1,go,4,Stanley,7,2
2,would,4,Stanley,7,3
3,want,4,Stanley,7,4
4,years,4,Stanley,7,5
5,going,3,Stanley,7,6
6,boss,3,Stanley,7,7
7,behind,2,Stanley,7,8
8,still,2,Stanley,7,9
9,crazy,2,Stanley,7,10
0,christmas,11,Stanley,8,1
1,get,9,Stanley,8,2
2,want,9,Stanley,8,3
3,go,8,Stanley,8,4
4,florida,7,Stanley,8,5
5,know,5,Stanley,8,6
6,jim,5,Stanley,8,7
7,take,4,Stanley,8,8
8,shove,4,Stanley,8,9
9,butt,4,Stanley,8,10
0,get,5,Stanley,9,1
1,work,4,Stanley,9,2
2,need,4,Stanley,9,3
3,don���t,4,Stanley,9,4
4,know,4,Stanley,9,5
5,jim,3,Stanley,9,6
6,dwight,3,Stanley,9,7
7,got,3,Stanley,9,8
8,day,3,Stanley,9,9
9,put,3,Stanley,9,10
0,band,4,Kevin,1,1
1,type,4,Kevin,1,2
2,wan,3,Kevin,1,3
3,good,3,Kevin,1,4
4,black,3,Kevin,1,5
5,people,3,Kevin,1,6
6,go,3,Kevin,1,7
7,steve,3,Kevin,1,8
8,miller,3,Kevin,1,9
9,tribute,3,Kevin,1,10
0,michael,9,Kevin,2,1
1,think,7,Kevin,2,2
2,pam,7,Kevin,2,3
3,fire,6,Kevin,2,4
4,said,5,Kevin,2,5
5,please,5,Kevin,2,6
6,stacy,5,Kevin,2,7
7,jim,5,Kevin,2,8
8,got,5,Kevin,2,9
9,guy,5,Kevin,2,10
0,know,14,Kevin,3,1
1,michael,12,Kevin,3,2
2,angela,11,Kevin,3,3
3,going,11,Kevin,3,4
4,pam,10,Kevin,3,5
5,yes,9,Kevin,3,6
6,go,8,Kevin,3,7
