id,speaker,season,count
888,Phyllis,4,99
889,Phyllis,5,180
890,Phyllis,6,138
891,Phyllis,7,147
892,Phyllis,8,123
893,Phyllis,9,127
894,Phyllis and Creed,5,1
895,"Phyllis, Kevin & Stanley",9,1
896,"Phyllis, Meredith, Michael, Kevin",2,1
897,"Phyllis, Stanley, Dwight",7,1
898,Pizza guy,4,22
899,Police Officer 1,5,10
900,Police Officer 2,5,6
901,Policeman,6,2
902,Pretzel guy,3,3
903,Priest,3,4
904,Prince,5,1
905,Prince Granddaughter,5,4
906,Prince Grandfather,5,19
907,Prince Grandmother,5,2
908,Prince Son,5,1
909,Producer,9,6
910,Production Assistant,9,1
911,Professor,5,5
912,Professor Powell,7,4
913,Promo Announcer,9,2
914,Promo Voice,9,1
915,Queerenstein Bears,8,1
916,Rachel,3,11
917,Rachel,9,7
918,Radio,7,1
919,Rafe,9,1
920,Randy,3,2
921,Ravi,8,2
922,Ravi,9,7
923,Realtor,6,4
924,Receptionist,2,2
925,Receptionist,3,1
926,Receptionist,4,1
927,Receptionist,5,6
928,Receptionist,7,1
929,Receptionist,8,8
930,Receptionitis15,5,2
931,Receptionitis15 [screen name],5,1
932,Redheaded Actress,2,1
933,Registrar,6,1
934,Rehab Nurse,5,1
935,Reid,6,5
936,Rep,6,6
937,Reporter,6,3
938,Reporter,7,2
939,Reporter #1,9,1
940,Reporter #2,9,1
941,Robert,7,17
942,Robert,8,404
943,Robert,9,9
944,Robert & Creed,8,1
945,Robert California,7,1
946,Robert California,8,14
947,Robert Dunder,4,11
948,Robotic Voice,7,2
949,Roger,9,1
950,Rolando,4,2
951,Rolando,5,2
952,Rolf,9,12
953,Rolph,5,9
954,Ronnie,5,3
955,Rory,7,2
956,Rose,5,8
957,Roy,1,35
958,Roy,2,106
959,Roy,3,89
960,Roy,5,14
961,Roy,9,11
962,Ruger Sister 1,9,2
963,Ruger Sister 2,9,1
964,Ryan,1,52
965,Ryan,2,227
966,Ryan,3,197
967,Ryan,4,228
968,Ryan,5,169
969,Ryan,6,125
970,Ryan,7,176
971,Ryan,8,189
972,Ryan,9,16
973,Ryan Howard,9,17
974,Ryan and Kelly,7,1
975,Ryan and Michael,7,1
976,Ryan and others,3,1
977,Ryan's Voicemail,2,1
978,Sadiq (IT guy),2,12
979,Salesman,7,10
980,Salesman,9,1
981,Salesmen,9,1
982,Saleswoman,8,1
983,Sam,5,6
984,Santigold,9,4
985,Sasha,2,8
986,Sasha,5,1
987,Sasha,8,1
988,School Official,3,4
989,Second Cindy,3,13
990,Second Shareholder,6,1
991,Secretary,5,4
992,Secretary,6,2
993,Secretary,9,2
994,Security,6,2
995,Security guard,4,1
996,Senator,8,7
997,Senator,9,9
998,Senator Lipton,8,23
999,Senator Lipton,9,5
1000,Senator Liptop,9,3
1001,Sensei,9,11
1002,Sensei Ira,9,1
1003,Server,3,1
1004,Server,9,2
1005,Seth Mayers,9,3
1006,Shane,6,11
1007,Shareholder,6,1
1008,Shelby,7,8
1009,Sheriff,2,8
1010,Sherri,2,11
1011,Shirley,9,17
1012,Soldier,8,1
1013,Soldier,9,1
1014,Someone,3,2
1015,Someone,4,2
1016,Son,7,4
1017,Song,2,6
1018,Spanish Teacher,3,3
1019,Speaker,2,2
1020,Speaker,8,6
1021,Stanely,4,2
1022,Stanley,1,27
1023,Stanley,2,108
1024,Stanley,3,94
1025,Stanley,4,81
1026,Stanley,5,113
1027,Stanley,6,72
1028,Stanley,7,75
1029,Stanley,8,91
1030,Stanley,9,100
1031,Stanley & Phyllis,5,1
1032,Staples Guy,3,1
1033,Stephanie,5,6
1034,Stephanie,6,3
1035,Steve,7,5
1036,Stewardess,5,1
1037,Stonewall Host,8,3
1038,Store Employee,2,1
1039,Stripper,9,5
1040,Stu,8,1
1041,Student 1,3,2
1042,Student 2,3,6
1043,Student 3,3,1
1044,Students,6,4
1045,Students,7,1
1046,Suit Store Father,9,11
1047,Suit Store Son,9,10
1048,Supervisor,5,1
1049,Susan,8,48
1050,Sweeney Todd,7,14
1051,TV,7,1
1052,Tall Girl #1,4,5
1053,Tall Girl #2,4,1
1054,Tattoo Artist,8,8
1055,Teacher,6,4
1056,Teammates,1,1
1057,Tech Guy,4,1
1058,Ted,3,1
1059,Teddy,6,6
